Name,Colour,DiffPath,GlossPath,TransPath,AlphaPath,BumpPath
BVN_Wood_Ash_Herringbone,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_ash_herringbone_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_ash_herringbone_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_ash_herringbone_2000_b.jpg
BVN_Wood_Ash_Planks 100,125/91/53,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_planks-100_2000_s_2k\wood_plywood_planks_100_2000_s_Diffuse_Ash.jpg,,,,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_planks-100_2000_s_2k\wood_plywood_planks_100_2000_s_Bump.jpg
BVN_Wood_Ash_Planks 150,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_ash_planks_150_3000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_ash_planks_150_3000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_ash_planks_150_3000_b.jpg
BVN_Wood_Beech_Planks 100,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech-03_planks_100_4000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech-03_planks_100_4000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech-03_planks_100_4000_b.jpg
BVN_Wood_Beech_Planks 150,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech_01_planks_150_3000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech_01_planks_150_3000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech_01_planks_150_3000_b.jpg
BVN_Wood_Beech_Planks 240,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech_02_planks_240_2400_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech_02_planks_240_2400_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech_02_planks_240_2400_b.jpg
BVN_Wood_Beech_Planks 50,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech-03_planks_50_1000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech-03_planks_50_1000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech-03_planks_50_1000_b.jpg
BVN_Wood_Beech_Planks 80,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech-04_planks_80_2400_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech-04_planks_80_2400_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_beech-04_planks_80_2400_b.jpg
BVN_Wood_Blackbutt_Planks 100,125/91/53,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_planks-100_2000_s_2k\wood_plywood_planks_100_2000_s_Diffuse_Blackbutt.jpg,,,,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_planks-100_2000_s_2k\wood_plywood_planks_100_2000_s_Height.jpg
BVN_Wood_Cedar_Planks 100,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_cedar_planks_100_3000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_cedar_planks_100_3000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_cedar_planks_100_3000_b.jpg
BVN_Wood_Cherry_Planks 100,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_cherry_planks_100_3000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_cherry_planks_100_3000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_cherry_planks_100_3000_b.jpg
BVN_Wood_Mahogany_Planks 150,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_mahogany_planks_150_3000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_mahogany_planks_150_3000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_mahogany_planks_150_3000_b.jpg
BVN_Wood_Makore_Planks 150,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_makore_planks_150_3000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_makore_planks_150_3000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_makore_planks_150_3000_b.jpg
BVN_Wood_Oak_Planks 100,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_oak_planks_100_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_oak_planks_100_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_oak_planks_100_2000_b.jpg
BVN_Wood_OSB_Rough,80/80/80,\\bvn\data\MaterialsLibrary\Wood\wood_OSB_2x2m_rough_01\wood_OSB_2x2m_rough_01_Base Colour.jpg,\\bvn\data\MaterialsLibrary\Wood\wood_OSB_2x2m_rough_01\wood_OSB_2x2m_rough_01_Glossiness.jpg,,,\\bvn\data\MaterialsLibrary\Wood\wood_OSB_2x2m_rough_01\wood_OSB_2x2m_rough_01_Bump.jpg
BVN_Wood_Paldao_Chevron,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_paldao_chevron_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_paldao_chevron_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_paldao_chevron_2000_b.jpg
BVN_Wood_Paldao_Herringbone,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_paldao_herringbone_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_paldao_herringbone_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_paldao_herringbone_2000_b.jpg
BVN_Wood_Paldao_Herringbone 45,80/80/80,\\bvn\data\MaterialsLibrary\Wood\wood_paldao_herringbone-45_2x2m_smooth_01\wood_paldao_herringbone_45_2x2m_smooth_01_Base Colour.jpg,\\bvn\data\MaterialsLibrary\Wood\wood_paldao_herringbone-45_2x2m_smooth_01\wood_paldao_herringbone_45_2x2m_smooth_01_Glossiness.jpg,,,\\bvn\data\MaterialsLibrary\Wood\wood_paldao_herringbone-45_2x2m_smooth_01\wood_paldao_herringbone_45_2x2m_smooth_01_Bump.jpg
BVN_Wood_Paldao_Planks 200,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_paldao_planks_200_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_paldao_planks_200_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_paldao_planks_200_2000_b.jpg
BVN_Wood_Particle Board,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_particle-board_1000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_particle-board_1000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_particle-board_1000_b.jpg
BVN_Wood_Plywood_01,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_plywood_1200_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_plywood_1200_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_plywood_1200_b.jpg
BVN_Wood_Plywood_02,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_plywood_2000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_plywood_2000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_plywood_2000_b.jpg
BVN_Wood_Plywood_Planks,80/80/80,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_planks-100_2000_s_2k\wood_plywood_planks_100_2000_s_Base Colour.jpg,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_planks-100_2000_s_2k\wood_plywood_planks_100_2000_s_Glossiness.jpg,,,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_planks-100_2000_s_2k\wood_plywood_planks_100_2000_s_Bump.jpg
BVN_Wood_Rhododendron_Planks 200,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_rhododendron_planks_200_3000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_rhododendron_planks_200_3000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_rhododendron_planks_200_3000_b.jpg
BVN_Wood_Smooth_Ash,125/91/53,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_2x2m_smooth_01\wood_plywood_2x2m_smooth_01_Base Colour.jpg,,,,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_2x2m_smooth_01\wood_plywood_2x2m_smooth_01_Bump.jpg
BVN_Wood_Smooth_Blackbutt,125/91/53,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_2x2m_smooth_01\wood_plywood_2x2m_smooth_01_Base Colour_Blackbutt.jpg,,,,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_2x2m_smooth_01\wood_plywood_2x2m_smooth_01_Bump.jpg
BVN_Wood_Spotted Gum_Planks 100,125/91/53,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_planks-100_2000_s_2k\wood_plywood_planks_100_2000_s_Diffuse_SpottedGum.jpg,,,,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_planks-100_2000_s_2k\wood_plywood_planks_100_2000_s_Bump.jpg
BVN_Wood_Spotted Gum_Smooth,125/91/53,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_2x2m_smooth_01\wood_plywood_2x2m_smooth_01_Base Colour_SpottedGum.jpg,,,,\\bvn\data\MaterialsLibrary\Wood\wood_plywood_2x2m_smooth_01\wood_plywood_2x2m_smooth_01_Bump.jpg
BVN_Wood_Walnut_Planks 200,80/80/80,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_walnut_planks_200_4000_d.jpg,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_walnut_planks_200_4000_g.jpg,,,\\bvn\data\MaterialsLibrary\Substance\Wood\wood_walnut_planks_200_4000_b.jpg
